iter	Passed	Remaining
0	1	245
1	2	225
2	3	211
3	3	195
4	5	196
5	5	193
6	6	192
7	7	186
8	8	181
9	9	178
10	10	174
11	10	168
12	11	167
13	12	165
14	13	163
15	14	162
16	14	160
17	15	159
18	16	157
19	17	158
20	18	158
21	19	157
22	20	155
23	20	152
24	21	151
25	22	151
26	23	150
27	24	148
28	24	146
29	26	147
30	26	146
31	27	145
32	28	144
33	29	143
34	30	142
35	30	140
36	31	139
37	32	138
38	33	137
39	34	136
40	34	135
41	35	135
42	36	134
43	37	133
44	38	133
45	39	131
46	40	130
47	41	130
48	42	129
49	42	128
50	43	127
51	44	127
52	45	126
53	46	125
54	47	124
55	48	123
56	48	122
57	49	121
58	50	120
59	51	119
60	52	119
61	53	118
62	53	117
63	54	116
64	55	115
65	56	114
66	57	113
67	58	112
68	58	111
69	59	110
70	61	110
71	62	110
72	63	109
73	64	109
74	65	108
75	66	108
76	67	107
77	67	106
78	68	105
79	70	105
80	71	105
81	72	104
82	73	103
83	74	102
84	75	101
85	76	100
86	76	99
87	77	98
88	78	98
89	79	97
90	80	96
91	81	95
92	82	94
93	83	93
94	83	92
95	84	91
96	85	90
97	86	89
98	87	88
99	87	87
100	88	86
101	89	86
102	90	85
103	91	84
104	92	83
105	93	82
106	94	81
107	95	81
108	96	80
109	97	79
110	97	78
111	98	77
112	99	76
113	100	75
114	101	74
115	101	73
116	102	72
117	103	72
118	104	71
119	105	70
120	105	69
121	106	68
122	107	67
123	108	66
124	109	65
125	110	64
126	111	63
127	111	62
128	112	62
129	113	61
130	114	60
131	115	59
132	116	58
133	116	57
134	117	56
135	118	55
136	119	54
137	120	54
138	122	53
139	123	52
140	124	51
141	125	51
142	125	50
143	126	49
144	127	48
145	128	47
146	129	46
147	130	45
148	131	44
149	132	44
150	133	43
151	134	42
152	135	41
153	136	40
154	136	39
155	137	38
156	138	37
157	139	37
158	140	36
159	140	35
160	141	34
161	142	33
162	143	32
163	144	31
164	144	30
165	145	29
166	146	28
167	146	27
168	147	27
169	149	26
170	150	25
171	151	24
172	152	23
173	153	22
174	154	22
175	155	21
176	156	20
177	157	19
178	158	18
179	158	17
180	159	16
181	160	15
182	161	15
183	162	14
184	163	13
185	163	12
186	164	11
187	165	10
188	166	9
189	166	8
190	167	7
191	168	7
192	169	6
193	170	5
194	171	4
195	171	3
196	172	2
197	173	1
198	174	0
199	174	0
