iter	Passed	Remaining
0	0	58
1	0	42
2	0	35
3	0	31
4	0	29
5	0	28
6	1	30
7	1	29
8	1	29
9	1	28
10	1	28
11	1	27
12	1	27
13	2	26
14	2	26
15	2	25
16	2	25
17	2	25
18	2	24
19	2	25
20	3	25
21	3	25
22	3	25
23	3	24
24	3	24
25	3	24
26	3	24
27	3	23
28	4	23
29	4	23
30	4	23
31	4	23
32	4	22
33	4	22
34	4	22
35	4	22
36	5	22
37	5	21
38	5	21
39	5	21
40	5	21
41	5	21
42	5	21
43	5	20
44	6	20
45	6	20
46	6	20
47	6	20
48	6	20
49	6	20
50	7	23
51	8	22
52	8	22
53	8	22
54	8	22
55	8	22
56	8	21
57	8	21
58	8	21
59	9	21
60	9	21
61	9	20
62	9	20
63	9	20
64	9	20
65	9	20
66	10	19
67	10	19
68	10	19
69	10	19
70	10	19
71	10	19
72	10	18
73	11	18
74	11	18
75	11	18
76	11	18
77	11	18
78	11	17
79	11	17
80	11	17
81	12	17
82	12	17
83	12	17
84	12	16
85	12	16
86	12	16
87	12	16
88	13	16
89	13	16
90	13	15
91	13	15
92	13	15
93	13	15
94	13	15
95	13	15
96	14	14
97	14	14
98	14	14
99	14	14
100	14	14
101	14	14
102	14	14
103	15	13
104	15	13
105	15	13
106	15	13
107	15	13
108	16	13
109	16	13
110	16	13
111	16	13
112	16	12
113	16	12
114	17	12
115	17	12
116	17	12
117	17	12
118	17	11
119	17	11
120	17	11
121	17	11
122	18	11
123	18	11
124	18	11
125	18	11
126	18	10
127	18	10
128	19	10
129	19	10
130	19	10
131	19	10
132	19	9
133	19	9
134	19	9
135	19	9
136	20	9
137	20	9
138	20	9
139	21	9
140	21	9
141	22	9
142	22	9
143	23	9
144	24	9
145	24	9
146	24	8
147	25	8
148	25	8
149	25	8
150	25	8
151	25	8
152	25	7
153	25	7
154	25	7
155	25	7
156	26	7
157	26	6
158	26	6
159	26	6
160	26	6
161	26	6
162	26	6
163	26	5
164	27	5
165	27	5
166	27	5
167	27	5
168	27	5
169	28	4
170	28	4
171	28	4
172	28	4
173	28	4
174	28	4
175	28	3
176	28	3
177	28	3
178	29	3
179	29	3
180	29	3
181	29	2
182	29	2
183	29	2
184	30	2
185	30	2
186	30	2
187	30	1
188	30	1
189	30	1
190	30	1
191	30	1
192	31	1
193	31	0
194	31	0
195	31	0
196	31	0
197	31	0
198	32	0
199	32	0
